"Nome ",ID,Группа,Дата Последней Котировки,Дата стоимости,Ед. Измерения,Категория,"Название RU ",Название RU [AI],Последний Поставщик,Последняя Котировка,Поставщик / Подрядчик,Поставщики,Создано,Стоимость,💯 Котировки поставщиков
Рейки для крепления террасной доски,M-FIN-026,,,"September 30, 2025 7:33 PM",,,,Рейки для крепления террасной доски,,,Silmadeiras (https://www.notion.so/Silmadeiras-f0d07ecf0bf648c9866b1121bfa0f4e0?pvs=21),,"September 24, 2025 5:55 PM",€3.00,
Клипсы для крепления террасной доски,M-FIN-027,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.20,
Шурупы для крепления террасной доски,M-FIN-028,,,"September 30, 2025 7:28 PM",,,,Шурупы для крепления террасной доски,,,Silmadeiras (https://www.notion.so/Silmadeiras-f0d07ecf0bf648c9866b1121bfa0f4e0?pvs=21),,"September 24, 2025 5:55 PM",€0.04,
"Лист гипсокартонный влагостойкий размером 2500х1200х12,5 мм",M-FIN-030,,,"September 30, 2025 7:28 PM",,,,"Лист гипсокартонный влагостойкий размером 2500х1200х12,5 мм",,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€9.91,
Уголок направляющий размером 30х30 мм,M-FIN-031,,,"September 30, 2025 7:33 PM",,,,Уголок направляющий размером 30х30 мм,,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€0.33,
Профиль потолочный,M-FIN-032,,,"September 30, 2025 7:27 PM",,,,Профиль потолочный,,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€0.47,
Резьба М6 длиной 1м,M-FIN-033,,,"September 30, 2025 7:28 PM",,,,Резьба М6 длиной 1м,,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€0.26,
Латунная втулка,M-FIN-034,,,"September 30, 2025 7:28 PM",,,,Латунная втулка,,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€0.06,
"Крепление типа ""бабочка""",M-FIN-035,,,"September 30, 2025 7:28 PM",,,,"Крепление типа ""бабочка""",,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€0.06,
Гвозди Hilti для крепления уголка направляющего 1000шт,M-FIN-036,,,"September 30, 2025 7:27 PM",,,,Гвозди Hilti для крепления уголка направляющего 1000шт,,,Hilti (https://www.notion.so/Hilti-8dbe3e1de660405ea1677db351ec7c0b?pvs=21),,"September 24, 2025 5:55 PM",€204.15,
"Саморез для гипсокартона размером 3,5х25мм 1000шт",M-FIN-037,,,"September 30, 2025 7:27 PM",,,,"Саморез для гипсокартона размером 3,5х25мм (1000шт)",,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€6.38,
"Саморез для гипсокартона размером 3,5х9,5мм 1000шт",M-FIN-038,,,"September 30, 2025 7:27 PM",,,,"Саморез для гипсокартона размером 3,5х9,5мм 1000шт",,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€6.42,
Сверла по бетону диаметром 6мм,M-FIN-039,,,"September 30, 2025 7:27 PM",,,,Сверла по бетону диаметром 6мм,,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€2.93,
Лента бумажная для швов гипсокартона,M-FIN-040,,,"September 30, 2025 7:28 PM",,,,Лента бумажная для швов гипсокартона,,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€0.03,
Шпаклевка для швов гипсокартона Semin CE-78 25kg,M-FIN-041,,,"September 30, 2025 7:33 PM",,,,Шпаклевка для швов гипсокартона Semin CE-78 25кг,,,Mundimat S.A. (https://www.notion.so/Mundimat-S-A-b05e655d490141ec92b68c996a53116d?pvs=21),,"September 24, 2025 5:55 PM",€11.74,
Раствор для черновой стяжки,M-FIN-052,,,"September 30, 2025 7:27 PM",,,,Раствор для черновой стяжки,,,"Abel de Oliveira Carrasquinho (https://www.notion.so/Abel-de-Oliveira-Carrasquinho-df3b64442b2f4ac2bb3aac276321471b?pvs=21), JAM (https://www.notion.so/JAM-041d164e8f5646819436760298fa7c2e?pvs=21)",,"September 24, 2025 5:55 PM",€82.09,
Цемент,M-FIN-053,,,"September 30, 2025 7:27 PM",,,,Цемент,,,Abel de Oliveira Carrasquinho (https://www.notion.so/Abel-de-Oliveira-Carrasquinho-df3b64442b2f4ac2bb3aac276321471b?pvs=21),,"September 24, 2025 5:55 PM",€167.20,
Песок для чистовой стяжки,M-FIN-054,,,"September 30, 2025 7:32 PM",,,,Песок для чистовой стяжки,,,JAM (https://www.notion.so/JAM-041d164e8f5646819436760298fa7c2e?pvs=21),,"September 24, 2025 5:55 PM",€53.13,
Сетка арматурная,M-FIN-055,,,"September 30, 2025 7:28 PM",,,,Сетка арматурная,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 24, 2025 5:55 PM",€1.10,
Смесь для штукатурки 25kg,M-FIN-060,,,"September 30, 2025 7:28 PM",,,,Смесь для штукатурки 25кг,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 24, 2025 5:55 PM",€2.10,
Уголки штукатурные,M-FIN-061,,,"September 30, 2025 7:28 PM",,,,Уголки штукатурные,,,Recom  (https://www.notion.so/Recom-b9da3fcb98b14c4dae488569006e0635?pvs=21),,"September 24, 2025 5:55 PM",€0.62,
Грунтовка для краски Cin,M-FIN-062,,,"September 30, 2025 7:27 PM",,,,Грунтовка для краски Cin,,,A.S. Jardim (https://www.notion.so/A-S-Jardim-bbd4bb52cc0a4fd1a73cc36d28c7fd35?pvs=21),,"September 24, 2025 5:55 PM",€7.30,
Краска водоэмульсионная для внутренних работ CIN,M-FIN-063,,,"September 30, 2025 7:27 PM",,,,Краска водоэмульсионная для внутренних работ CIN,,,A.S. Jardim (https://www.notion.so/A-S-Jardim-bbd4bb52cc0a4fd1a73cc36d28c7fd35?pvs=21),,"September 24, 2025 5:55 PM",€7.75,
Краска фасадная Cin,M-FIN-064,,,"September 30, 2025 7:32 PM",,,,Краска фасадная Cin,,,A.S. Jardim (https://www.notion.so/A-S-Jardim-bbd4bb52cc0a4fd1a73cc36d28c7fd35?pvs=21),,"September 24, 2025 5:55 PM",€8.35,
Ограждение из закаленного стекла высотой 1м,M-LAD-002,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€200.00,
Мрамор белый для подоконников шириной 20см,AC-8,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€55.00,
Бетон C25/30 XC2(P) Dmáx 20mm S3,M-CON-003,,,"October 6, 2025 11:30 AM",m3,Бетон,,Бетон C25/30 XC2(P) Dmáx 20мм S3,,,Sesil Betão (https://www.notion.so/Sesil-Bet-o-c99eadf62a8747da8814aa95c31c1301?pvs=21),,"September 24, 2025 5:55 PM",€94.27,
Планка для крепления геотекстиля,M-IMP-004,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€4.50,
Фасадный Акрил 2 слоя,M-TER-008,,,"September 30, 2025 7:28 PM",,,,Фасадный акрил 2 слоя,,,Nepeli (https://www.notion.so/Nepeli-76ee0fa7508a4e249e6f9584acc87137?pvs=21),,"September 24, 2025 5:55 PM",€6.28,
Плитка керамическая для плинтуса высотой 10см,AC-5,,,"September 30, 2025 7:27 PM",,,,Керамическая плитка для плинтуса высотой 10см,,,Nepeli (https://www.notion.so/Nepeli-76ee0fa7508a4e249e6f9584acc87137?pvs=21),,"September 24, 2025 5:55 PM",€25.00,
Камень природный типа MABOL COMPAC шириной 25см на парапет,AC-6,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€45.00,
Информационный щит,M-IND-01,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€30.00,
Доставка санитарного блока,M-IND-05,,,"September 30, 2025 7:28 PM",,,,Доставка санитарного блока,,,Vendap (https://www.notion.so/Vendap-643bd1e719ae4df9a790e1c4d049628e?pvs=21),,"September 24, 2025 5:55 PM",€230.00,
Вывоз санитарного блока,M-IND-06,,,"September 30, 2025 7:32 PM",,,,Вывоз санитарного блока,,,Vendap (https://www.notion.so/Vendap-643bd1e719ae4df9a790e1c4d049628e?pvs=21),,"September 24, 2025 5:55 PM",€230.00,
Порошковые огнетушители 6 кг.,M-IND-18,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€150.00,
Полный набор первой помощи.,M-IND-19,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€100.00,
Сигнализация строительной площадки.,M-IND-22,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,250.00",
Водяной (гидравлический) тёплый пол,M-IND-26,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€150.00,
Система для бассейна,M-IND-27,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€15,000.00",
Электророллеты для бассейна,M-IND-29,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€15,000.00",
Бетон С8/10,MAT-2,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€145.00,
Бетон С30/37 ХС3,MAT-3,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€170.00,
Щиты опалубки для фундаментной плиты,MAT-4,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€30.00,
Мастило для опалубки,MAT-5,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€4.50,
Арматура діаметром 16мм,MAT-6,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,700.00",
Арматура діаметром 12мм,MAT-7,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,600.00",
Арматура діаметром 10мм,MAT-8,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,500.00",
Дрiт в'язальний,MAT-9,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€3.00,
Електроди,MAT-10,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€6.00,
Круги відрізні по металу діаметром 230мм,MAT-11,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€25.00,
Руберойд,MAT-14,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€7.00,
Газ пропан-бутан в балонах 40л,MAT-15,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€95.00,
Бетон С30/37 ХС3,MAT-18,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€170.00,
Дерев'яні щити для перекриття,MAT-19,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€30.00,
Цвяхи,MAT-20,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€4.50,
Мастило для опалубки,MAT-21,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€4.50,
Арматура діаметром 14мм,MAT-22,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,700.00",
Арматура діаметром 10мм,MAT-23,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,500.00",
Арматура діаметром 8мм,MAT-24,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,400.00",
Дрiт в'язальний,MAT-25,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€3.00,
Електроди,MAT-26,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€6.00,
Круги відрізні по металу діаметром 230мм,MAT-27,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€25.00,
Круги відрізні по дереву діаметром 180мм,MAT-28,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€85.00,
Цегла розміром 30х20х22см,MAT-31,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.80,
Цегла розміром 30х20х15см,MAT-32,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.20,
Цегла розміром 30х20х11см,MAT-33,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.10,
Цемент,MAT-34,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€305.00,
Пісок для розчину для кладки,MAT-35,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€58.00,
Арматура діаметром 8мм,MAT-36,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,400.00",
Огорожа сходів із загартованого скла висотою 1м,MAT-39,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€220.00,
Профіль для кріплення скла,MAT-40,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€23.00,
Шурупи для кріплення профіля,MAT-41,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.30,
Силікон білий 310мл,MAT-42,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€12.00,
Екструдований пінополістирол товщиною 40 мм,MAT-45,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€420.00,
Розчин для чорнової стяжки,MAT-46,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€105.00,
Цемент,MAT-47,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€305.00,
Пісок для чистової стяжки,MAT-48,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€52.00,
Гідроізоляція Weber.tec 824 20кг,MAT-49,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€85.00,
Сітка штукатурна,MAT-50,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€2.00,
Руберойд,MAT-53,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€7.00,
Газ пропан-бутан в балонах 40л,MAT-54,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€95.00,
Розчин для чорнової стяжки,MAT-55,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€105.00,
Цемент,MAT-56,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€305.00,
Пісок для чистової стяжки,MAT-57,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€52.00,
"Вікона розміром 2,4х2м",MAT-60,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€900.00,
"Вікона розміром 2х1,5м",MAT-61,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€600.00,
